
Network Stats for the last 627 seconds:

Total Sent Spatial Packets: 29326
Total Requested to Send Spatial Packets: 117271
Total Sent Actor Motion Hints Packets: 43699
Percentage of Usual Bandwidth Used: 51.62%


Total Sent: 176960, 0B (19.91MB)
136 ClientCacheMissResponsePacket      5.82MB, Num 255, Avg 23.35KB
63  PlayerListPacket                   3.19MB, Num 9, Avg 362.99KB
29  UpdateAttributesPacket             1.95MB, Num 17040, Avg 119B
162 ItemRegistryPacket                 1.60MB, Num 3, Avg 0.53MB
11  StartGamePacket                    1.48MB, Num 3, Avg 0.49MB
52  CraftingDataPacket                 1.32MB, Num 3, Avg 450.43KB
76  AvailableCommandsPacket            1.19MB, Num 3, Avg 407.76KB
65  LegacyTelemetryEventPacket         0.67MB, Num 19493, Avg 35B
28  MobEffectPacket                    0.58MB, Num 60550, Avg 9B
174 SubChunkPacket                     0.52MB, Num 300, Avg 1.76KB
39  SetActorDataPacket                 467.62KB, Num 33130, Avg 14B
111 MoveActorDeltaPacket               294.64KB, Num 29326, Avg 10B
145 CreativeContentPacket              182.60KB, Num 3, Avg 60.87KB
19  MovePlayerPacket                   130.87KB, Num 4323, Avg 31B
118 SpawnParticleEffectPacket          110.82KB, Num 2467, Avg 46B
123 LevelSoundEventPacket              85.44KB, Num 1629, Avg 53B
13  AddActorPacket                     80.67KB, Num 115, Avg 0.70KB
313 JigsawStructureDataPacket          57.12KB, Num 3, Avg 19.04KB
119 AvailableActorIdentifiersPacket    49.75KB, Num 3, Avg 16.58KB
121 NetworkChunkPublisherUpdatePacket  39.37KB, Num 4469, Avg 9B
40  SetActorMotionPacket               35.77KB, Num 2442, Avg 15B
122 BiomeDefinitionListPacket          21.70KB, Num 3, Avg 7.23KB
15  AddItemActorPacket                 19.83KB, Num 63, Avg 322B
58  LevelChunkPacket                   12.29KB, Num 547, Avg 23B
56  BlockActorDataPacket               12.20KB, Num 36, Avg 347B
165 SyncActorPropertyPacket            9.50KB, Num 90, Avg 108B
199 UnlockedRecipesPacket              7.03KB, Num 1, Avg 7.03KB
302 TrimDataPacket                     3.72KB, Num 3, Avg 1.24KB
320 CameraAimAssistPresetsPacket       3.22KB, Num 3, Avg 1.07KB
72  GameRulesChangedPacket             2.21KB, Num 7, Avg 324B
160 PlayerFogPacket                    2.05KB, Num 19, Avg 110B
3   ServerToClientHandshakePacket      1.25KB, Num 3, Avg 428B
12  AddPlayerPacket                    1.00KB, Num 2, Avg 0.50KB
198 CameraPresetsPacket                0.96KB, Num 3, Avg 327B
14  RemoveActorPacket                  0.91KB, Num 134, Avg 6B
172 UpdateSubChunkBlocksPacket         0.77KB, Num 10, Avg 79B
314 CurrentStructureFeaturePacket      0.76KB, Num 261, Avg 3B
49  InventoryContentPacket             0.59KB, Num 20, Avg 30B
124 LevelEventGenericPacket            448B, Num 7, Avg 64B
341 LocatorBarPacket                   407B, Num 5, Avg 81B
187 UpdateAbilitiesPacket              350B, Num 10, Avg 35B
6   ResourcePacksInfoPacket            306B, Num 3, Avg 102B
10  SetTimePacket                      278B, Num 70, Avg 3B
9   TextPacket                         225B, Num 4, Avg 56B
7   ResourcePackStackPacket            186B, Num 3, Avg 62B
45  RespawnPacket                      135B, Num 9, Avg 15B
21  UpdateBlockPacket                  132B, Num 12, Avg 11B
25  LevelEventPacket                   120B, Num 7, Avg 17B
43  SetSpawnPositionPacket             99B, Num 3, Avg 33B
50  InventorySlotPacket                65B, Num 5, Avg 13B
44  AnimatePacket                      64B, Num 4, Avg 16B
86  PlaySoundPacket                    52B, Num 2, Avg 26B
143 NetworkSettingsPacket              48B, Num 4, Avg 12B
161 CorrectPlayerMovePredictionPacket  38B, Num 1, Avg 38B
316 CameraAimAssistPacket              36B, Num 2, Avg 18B
188 UpdateAdventureSettingsPacket      35B, Num 5, Avg 7B
114 UpdateSoftEnumPacket               32B, Num 1, Avg 32B
2   PlayStatusPacket                   20B, Num 4, Avg 5B
151 UpdatePlayerGameTypePacket         20B, Num 2, Avg 10B
48  PlayerHotbarPacket                 20B, Num 5, Avg 4B
337 VoxelShapesPacket                  18B, Num 3, Avg 6B
338 CameraSplinePacket                 9B, Num 3, Avg 3B
47  ContainerClosePacket               8B, Num 2, Avg 4B
46  ContainerOpenPacket                7B, Num 1, Avg 7B
307 SetPlayerInventoryOptionsPacket    7B, Num 1, Avg 7B
60  SetDifficultyPacket                6B, Num 3, Avg 2B
59  SetCommandsEnabledPacket           6B, Num 3, Avg 2B
42  SetHealthPacket                    2B, Num 1, Avg 2B
70  ChunkRadiusUpdatedPacket           2B, Num 1, Avg 2B

Total Received: 12607, 0B (2.87MB)
1   LoginPacket                        1.71MB, Num 3, Avg 0.57MB
144 PlayerAuthInputPacket              1.09MB, Num 12013, Avg 94B
135 ClientCacheBlobStatusPacket        46.14KB, Num 255, Avg 185B
175 SubChunkRequestPacket              18.28KB, Num 300, Avg 62B
30  InventoryTransactionPacket         86B, Num 2, Avg 43B
322 ClientMovementPredictionSyncPacket 76B, Num 1, Avg 76B
44  AnimatePacket                      64B, Num 4, Avg 16B
36  PlayerActionPacket                 40B, Num 4, Avg 10B
193 RequestNetworkSettingsPacket       24B, Num 4, Avg 6B
8   ResourcePackClientResponsePacket   24B, Num 6, Avg 4B
321 ClientCameraAimAssistPacket        10B, Num 2, Avg 5B
129 ClientCacheStatusPacket            9B, Num 3, Avg 3B
33  InteractPacket                     8B, Num 2, Avg 4B
312 ServerboundLoadingScreenPacket     8B, Num 2, Avg 4B
47  ContainerClosePacket               4B, Num 1, Avg 4B
4   ClientToServerHandshakePacket      3B, Num 3, Avg 1B
69  RequestChunkRadiusPacket           3B, Num 1, Avg 3B
113 SetLocalPlayerAsInitializedPacket  2B, Num 1, Avg 2B

